data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2023-04-23,202317,7.0,0,39,0,0.22673301,4.322135,0,2,354880720231719485,2023-05-08,0.0,1.0,161957.0,16.3636363636364,92.7699859090909,0,0,1,79.297976,52.836236,19.0719697272727,23.5909090909091,,,,,,3060
2023-04-16,202316,8.0,3,24,3,0.19941407,4.939583,0,2,354880720231619485,2023-05-08,0.0,1.0,161957.0,16.4285714285714,92.1804457142857,0,0,1,75.7383111428571,50.8028415714286,19.3809521428571,24.0,,,,,,3060
2023-04-09,202315,11.0,8,19,8,0.3123605,6.7919264,0,2,354880720231519485,2023-05-08,0.0,1.0,161957.0,17.8571428571429,93.0836877142857,0,0,2,79.9696221428571,57.9606898571429,20.5227737142857,24.8571428571429,,,,,,3060
2023-04-02,202314,10.0,9,16,9,0.29759064,6.1744785,0,4,354880720231419485,2023-05-08,0.0,1.0,161957.0,17.5714285714286,92.2689082857143,0,0,1,81.6239428571429,62.483194,19.9464282857143,24.0,,,,,,3060
2023-03-26,202313,15.0,14,18,14,0.89092606,9.261718,0,4,354880720231319485,2023-05-08,0.0,2.0,161957.0,20.3076923076923,86.3541609230769,1,0,2,77.3192041538462,62.2738027692308,22.0595236923077,24.4615384615385,,,,,,3060
2023-03-19,202312,17.0,17,19,17,0.98338884,10.4966135,0,2,354880720231219485,2023-05-08,0.0,2.0,161957.0,19.8571428571429,87.5819271428571,1,1,2,75.4023978571429,53.904714,22.7440474285714,26.7142857142857,,,,,,3060
2023-03-12,202311,4.0,4,5,4,0.22624426,2.4697914,0,2,354880720231119485,2023-05-08,0.0,1.0,161957.0,20.1481481481481,91.0512692592593,1,0,0,89.64497,88.6491818518518,20.4320986666667,20.7407407407407,,,,,,3060
2023-03-05,202310,10.0,10,11,10,0.75701946,6.1744785,0,2,354880720231019485,2023-05-08,0.0,1.0,161957.0,21.4285714285714,82.422247,1,0,1,80.1404651428571,77.5561068571429,21.8857142857143,22.4285714285714,,,,,,3060
2023-02-26,202309,2.0,2,3,2,0.035461582,1.2348957,0,2,354880720230919485,2023-05-08,0.0,0.0,161957.0,22.2857142857143,80.8571007142857,1,0,0,79.6172434285714,77.9788222857143,22.4714285714286,22.5714285714286,,,,,,3060
2023-02-19,202308,10.0,10,11,10,0.8720864,6.1744785,0,2,354880720230819485,2023-05-08,0.0,2.0,161957.0,19.6296296296296,92.7731431111111,1,0,1,83.218588,64.0791351851852,21.5371712592593,25.2962962962963,,,,,,3060
2023-02-12,202307,8.0,8,8,8,0.7616746,4.939583,0,2,354880720230719485,2023-05-08,0.0,1.0,161957.0,22.7727272727273,79.9244554545455,1,0,1,78.1360109090909,75.8289790909091,23.0454545454545,23.3181818181818,,,,,,3060
2023-02-05,202306,4.0,4,4,4,0.17737164,2.4697914,0,2,354880720230619485,2023-05-08,0.0,1.0,161957.0,21.5714285714286,83.9002528571429,1,0,0,83.15482,82.4301385714286,21.6190477142857,21.7142857142857,,,,,,3060
2023-01-29,202305,5.0,5,5,5,0.18331122,3.0872393,0,2,354880720230519485,2023-05-08,0.0,1.0,161957.0,21.2857142857143,88.5931937142857,1,0,0,83.7916262857143,75.5629297142857,22.1369045714286,23.7142857142857,,,,,,3060
